, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
 ROA(C) before interest and depreciation before interest,1.0,0.9401237079700807,0.9868494970182541,0.3347194402667809,0.3327553322930604,0.03572473053505885,0.053419418092830344,0.049221505275491774,0.02050061119559321,0.051327937892055045,0.06686946243874607,0.10646056015845089,0.32348242228734253,0.048882067614269435,0.2507607624517999,0.5055803204506616,0.5054066806313373,0.5052808487973172,0.775006200598594,0.3798394958767992,-0.015932448685523206,0.687200783557138,0.7505635078323366,0.0005910673864003063,0.03651059289900012,0.11508282351701472,0.11503956896899994,0.025233811642544957,0.019635082385452803,-0.02193022383360519,0.07990567417416446,0.2961582400767021,0.013195566855160736,-0.026335873952321766,0.0039878264146149525,-0.022207728099146423,-0.26142664406978167,0.26142664406978455,0.0029673790751852205,-0.16167147770471701,-0.03572911507350406,0.6850284901154945,0.7533388791546751,-0.10988801464573945,0.21062225533830098,-0.033946612694145846,0.007018964024845297,-0.0626603482994135,-0.06591879307481846,0.022896457306813035,-0.01483405756101761,0.301996203601751,-0.012542715071475068,0.25967961643542053,0.18199302918474913,0.09882048428089506,0.23531442696988597,-0.010529616929026504,-0.046008944308738524,-0.21025644141724867,0.38815115250966586,-0.004446832299130843,0.013329741641617914,0.05278278935678455,0.1038185505463427,-0.14273355888520847,0.021508122788358768,0.6502172710185042,0.023450318535438417,-0.29601857052570163,0.005715641230036168,-0.027280238645233965,0.0018241953300611087,-0.02947675416486586,0.011759074721989645,-0.009191895079865632,0.05278278935678455,-0.14273355888520847,-0.08653454560411135,0.262454379642677,0.15969923474494535,0.5043111598834565,0.1290020097656248,-0.16072518610532815,-0.10927228259148997,0.8876695382909829,-0.07172470039118245,0.008135088508584711,0.33472096865297146,0.2742871534340763,-0.1436294810944036,-0.016574569046776195,0.01057283582392047,,0.052416349717134436
 ROA(A) before interest and % after tax,0.9401237079700807,1.0,0.9557406252835042,0.32696910848219884,0.324955926356634,0.0320533405852148,0.053517781797663665,0.049474030376572144,0.029648763441478935,0.04990938580243333,0.07572745164435482,0.08433371051535767,0.2884401925637314,0.05036227332417576,0.22589681886099414,0.5317988012413958,0.531790250119165,0.5318207757431146,0.7648280089887484,0.32623906820913895,-0.011829455752834913,0.6542531851933987,0.7525782732040788,0.003277137582088455,0.042207586826820666,0.12538403306685064,0.12587185064790316,0.024887244824262033,0.026976681701490847,-0.06397041004076118,0.08198168866637406,0.26361459222607825,0.014102372292986992,-0.01841178815478284,0.005439780405645084,-0.010323254491811817,-0.2599719085723466,0.25997190857234903,0.020707080894729335,-0.16186813000085984,-0.03618321242173095,0.651581054191073,0.75823389786495,-0.07858528839870778,0.22352765921308052,-0.03126219106768774,0.009040970891299356,-0.05449639794638376,-0.13696442726929653,0.03692476961911501,-0.014887643297673222,0.32494223018564844,-0.006034682120616421,0.30353176193441694,0.20201698796954254,0.1570048395338552,0.21791786048776662,-0.009612263581940655,-0.037467568701556375,-0.19050050813359223,0.351107139325787,-3.6047809946734675e-06,0.00486403418987812,0.08040052601831732,0.12040296788314077,-0.13381605386419002,0.022240865465523858,0.7180127146946933,0.02887315140618925,-0.35714661772466344,-0.0008693492696646226,-0.025142905530315146,0.004491113165957657,-0.025816615993831754,0.01219830539171566,-0.0058601102591071715,0.08040052601831732,-0.13381605386419002,-0.10301547661450676,0.2635913677734349,0.15706527436901582,0.44301701308356833,0.11292924095111144,-0.19567314671809696,-0.15689016313955276,0.9615519166312979,-0.09889982937297645,0.011463483415970775,0.32697132408668433,0.2917435604416463,-0.1410391678028319,-0.011515415283410706,0.013371659710817793,,0.057886826135108885
 ROA(B) before interest and depreciation after tax,0.9868494970182541,0.9557406252835042,1.0,0.3337485617552031,0.3317554638381204,0.03521236052553602,0.05372553120143776,0.04995204585968745,0.022366188478093466,0.052260532259158284,0.06560233500386291,0.10214683305162199,0.32304019267192174,0.045839204512079255,0.19734404170327663,0.5020515495664438,0.5020004897850217,0.5019071929176926,0.7645970494767387,0.3662164480340563,-0.014358550705389555,0.6598337858312312,0.7229400587478131,0.0021422492218886647,0.036144238536627314,0.11713007477539253,0.11704151030294185,0.024414357157922374,0.022104093064973022,-0.026126724406325633,0.07997212702356593,0.2920079346534324,0.012974730725439556,-0.024231692527401757,0.005186590098547464,-0.02116076187552937,-0.26473444537886376,0.2647344453788664,0.0038685563374049763,-0.1586183471376385,-0.034177373657443375,0.6572744889014889,0.7260029658873253,-0.1095005609448352,0.19480995007156535,-0.033768193900556354,0.009921310220667966,-0.05360525771363103,-0.06104594859967089,0.012762560034072746,-0.014545036703510246,0.3045215760363997,-0.012770470232118771,0.2601508643007189,0.1663110848541781,0.09408304360053622,0.2271444294032957,-0.010013719719753433,-0.04129644230936159,-0.21718579186312584,0.387892720434049,-0.0016155773221835112,0.007302496149037775,0.046694159894203655,0.10196164359928184,-0.14287931566011866,0.0183003527141254,0.6737376651524969,0.024436076714023758,-0.3222226208769201,-0.0026114633598964426,-0.02992781957038978,0.002487673439887767,-0.03040969781164837,0.01197671411296234,-0.00836354688344421,0.046694159894203655,-0.14287931566011866,-0.08318957820602153,0.2584278254572011,0.15702209146902005,0.49704245101403133,0.12362226766678129,-0.16257204723706556,-0.12067967657957585,0.9120401733352151,-0.08908828936731429,0.007522730518130104,0.3337502464181708,0.28061672358651163,-0.1428384143239511,-0.014662913192390962,0.011473346459158781,,0.056429588335143714
 Operating Gross Margin,0.3347194402667809,0.32696910848219884,0.3337485617552031,1.0,0.9995182781255221,0.00574483589066672,0.03249272873864333,0.027175300771500835,0.051437780980290115,0.029429815968563127,-0.20635302444800005,-0.01697642598398822,0.34118819323286675,0.017198269577898745,0.06797049967751019,0.14466055484366475,0.14503138542952257,0.14505661057459415,0.256721841363672,0.16319159818749437,0.11704517075473185,0.26794430932162416,0.2477894884713831,0.014172026937024391,0.02286690350290219,0.054638553514602506,0.053429778418844,0.009121178774553783,0.016012789896222894,-0.017448007907591066,0.026544637341316662,0.12267571560008167,0.02494464055819065,0.0013789580648635674,-0.0023656898293426347,-0.02235966470521698,-0.24546021242032254,0.24546021242032184,0.0060195962198158716,-0.08573286452920723,-0.022257878187606207,0.26741096253594376,0.24810434265088718,-0.08672048944727456,-0.09966094703987974,0.08234204494961087,0.022530340180230823,0.04766486324976184,0.0012388135550501194,-0.13615677044727179,0.01902162550828861,0.2249758407801444,-0.006952505768961094,0.24630436553881632,0.1528504279337783,0.09478198640020107,0.24194649753751202,-0.0032058337375007358,-0.03090058403324336,-0.19802660995561544,0.24683418511029362,-0.035025320380984486,0.035218425776512324,0.0635470594496559,0.06796988109855825,-0.08042183631116345,0.0005216014880531957,0.1645791751369704,0.0436075591393436,0.22547934895446214,-0.12127487948683949,-0.1297146884984886,0.02045054453194498,-0.071578809685556,-0.04155873217782673,0.0035068763231074465,0.0635470594496559,-0.08042183631116345,-0.0688101896697406,0.09809717018200619,0.11413849428429773,0.2269900273220129,0.03067221777059046,-0.13265048870151,-0.03293001594165061,0.3001433438115685,0.02267229427037386,0.004205352578572881,0.9999999924887606,0.07530409411394416,-0.08543385644677211,-0.011806144253965735,-0.0011666711839534874,,0.12002922038478112
 Realized Sales Gross Margin,0.3327553322930604,0.324955926356634,0.3317554638381204,0.9995182781255221,1.0,0.005609530717036087,0.03223157617266965,0.026851472406122043,0.05124164891828143,0.029165936247242067,-0.20643857293345727,-0.017391218242697706,0.3414333753276398,0.017121230412900357,0.06770764691696787,0.14288708461814026,0.14326213556382764,0.1432875204791563,0.25475271680295963,0.16316285043166642,0.11719614483569782,0.2670205133672563,0.24600412626503435,0.014187934802629849,0.02277779841275052,0.05447015275098403,0.05325869121625597,0.00911715174800586,0.016583407189211974,-0.017451245855854853,0.026463425011538068,0.1227872436463693,0.024984099113524175,0.00141798967753049,-0.0025091168517801304,-0.02235432555032231,-0.245606241737665,0.24560624173766468,0.006189410426875718,-0.08559799264984401,-0.022238678816214243,0.2664831677499957,0.2462561707488606,-0.08676179126252222,-0.10014147032642329,0.08247887208246768,0.022596053128622933,0.047078783059733134,0.001288610404217089,-0.13633511936883577,0.019060265386470477,0.22445789625197282,-0.007262087527448701,0.24622072513777377,0.152804805431868,0.0948375766742466,0.2423533303495767,-0.003186211827877435,-0.03104524046848027,-0.19784246960529028,0.24678135371762597,-0.035085425467154006,0.035478486918941725,0.06465673217575209,0.06792137233408914,-0.08034966300278795,0.0001776481703080585,0.16301312423850675,0.04360996035463458,0.22616984198750323,-0.12131984998384088,-0.12974683030649378,0.02053560696468616,-0.07132118690756846,-0.04160398607212467,0.003523849788028721,0.06465673217575209,-0.08034966300278795,-0.06876340351280974,0.09805621568687342,0.11405983500337034,0.22691188832702164,0.030676148687684514,-0.13260735263346818,-0.032919629703985764,0.298155480526456,0.022750405387493372,0.004037672184121451,0.9995182260040115,0.07489136648495111,-0.0854065852422744,-0.011267709824716714,-0.0011581452031692483,,0.12019627297711058
 Operating Profit Rate,0.03572473053505885,0.0320533405852148,0.03521236052553602,0.00574483589066672,0.005609530717036087,1.0,0.9164477798560053,0.8621907071596802,-0.592005877211252,0.9155437834862158,0.013246396949847911,0.016387428336343955,0.02305117352228059,0.0027837849846200817,0.019935808174713715,0.01925696630080027,0.019218117283018043,0.019239965266902245,0.02041961938040792,0.014244398566713586,-0.04445999698577942,0.022397084846190626,0.02021938938809549,0.0008310849744036767,0.004952375069431779,0.011328235377419178,0.01122659790304596,0.0013181404192547995,0.034464841144484386,-0.00020721004333332748,0.003677238937243207,0.014955252035553404,0.000832655748924567,0.00032286172892741194,0.0011560325180876578,-0.0015065415077185121,0.010397382140444743,-0.010397382140444878,-0.0008331257950991732,0.00109239246679135,0.0002465425764927764,0.02215996381543357,0.020014970599614556,0.01199348191426227,0.029456333137920742,-0.023170708742232465,0.001001083839877071,0.009575737534713606,0.0052316153239358966,0.016064161110012402,-0.027450322666788582,0.01824841962928155,0.0007260154132975212,0.025598864274573585,0.02610044697404186,0.033820533529007164,0.010465062793106616,0.00036486230367829023,0.00030067682540547297,0.011339750604136105,0.02030827853949485,-0.001026197007798558,-0.001748314091124367,0.020520296120562317,0.010599712675328894,0.0018596587395818744,0.0019666795814696665,0.021279879302410314,0.0020468786021061195,0.005401301729582221,0.008117102624822787,0.012695616262239999,-0.22956818615788482,0.016485026296694613,-0.08474671642884561,0.00010624619997664908,0.020520296120562317,0.0018596587395818744,-0.0006537565600453047,0.02091785839186274,0.004668979944885169,0.026682227929496944,0.014088053831172773,-0.07967949242216729,-0.0002946771448511545,0.028482200253135755,-0.0033381071222576657,0.00019924706779653938,0.005745896662566004,0.006215964545178415,0.0015411865394587927,0.000934523371535697,0.00039276971808685664,,-0.01707120016921885
 Pre-tax net Interest Rate,0.053419418092830344,0.053517781797663665,0.05372553120143776,0.03249272873864333,0.03223157617266965,0.9164477798560053,1.0,0.9863790242582028,-0.22004465499121642,0.9936165193085659,0.0142474457174981,0.016835566061958327,0.024949820132863062,0.004030735916518454,0.02300292284649512,0.03303382215951255,0.03301484184040056,0.0330350776324261,0.03372611640335072,0.017617499000954957,0.004931126991354068,0.02631430254639029,0.03404561709013666,0.0012460442751183048,0.00390909715648821,0.0351502735138693,0.03491430942281772,0.0030128650386604884,0.03763259646288497,-0.0009979885879444837,0.005004223522315334,0.017801060000959785,0.00316443776182177,-0.017376388145281793,0.0016300020265026783,-0.0019643608956275895,-0.003906294869108131,0.003906294869107903,-0.0019067957615358077,-0.004654382747171951,0.0022215426998131826,0.026090878531717914,0.03389953073784242,0.009042030941623187,0.02966697441912977,0.0895762521001215,0.00219831529739967,0.005560410760613957,0.0035813440128449467,0.015513478406899999,-0.14495602978669908,0.020271340298580895,0.0006853152213141815,0.036347045771623815,0.03081871619488765,0.03715586586307269,0.01713626732245768,0.00029565979751253326,-0.0014037909523318091,0.0016319312374847338,0.022855036885404783,0.010230814542700145,-0.017489436187069773,0.01900879200096448,0.014933104707698873,-0.002202021872148497,0.002062049283280726,0.03623584966310999,0.003322310881297608,-0.004524937012313575,0.00806464788771219,0.012206180321338725,0.09068887640294207,0.015581277211043073,0.23367526077074185,-4.744534284037555e-05,0.01900879200096448,-0.002202021872148497,-0.007929473140193275,0.04184490397875326,0.011516503158831834,0.03181297868333567,0.02624485248652545,-0.13858394348983527,-0.003163137225426768,0.04858660612045088,-0.004242838334871914,-7.507305053154964e-05,0.032493583105968046,0.01134308578314298,-0.0040426989344628265,0.0008549153376645328,0.0009838862467384463,,-0.014559416444281369
 After-tax net Interest Rate,0.049221505275491774,0.049474030376572144,0.04995204585968745,0.027175300771500835,0.026851472406122043,0.8621907071596802,0.9863790242582028,1.0,-0.11521103846360843,0.984452328775917,0.013981897992476006,0.016520863201855612,0.02281284591714696,0.003824342863850562,0.021164334672838462,0.03136925746563455,0.031346606927706404,0.03136697913191444,0.030767834193153074,0.01614038178432728,0.005594499201580727,0.02413734653891526,0.030621347989952374,0.0012259791775787747,0.0029624045525750795,0.031222684546630932,0.030963891935769615,0.002565453333278926,0.037065986796252684,-0.00085782394952263,0.004378860296474648,0.01669248188727332,0.0026845184293850595,-0.015368921747681053,0.0016123916132507721,-0.0013788596448488435,-0.006174253182692915,0.006174253182692752,-0.0012274472528098575,-0.0043946767746025515,0.0021173979928714435,0.02394150198610106,0.03056776609001286,0.008992940050862704,0.029503860022627747,0.07991980623042744,0.0020316997088002543,0.005957117403308668,0.004241490390023439,0.01573576660950939,-0.1466708475223718,0.018334072380295684,0.0007018613184832363,0.0404047060491495,0.031452565085371524,0.03783550622989146,0.017117861778996244,0.00034261061034999085,-0.0008273715269625662,-0.002804727672643343,0.02087674712305431,0.00950060798365119,-0.015766377336163317,0.013731916452109399,0.01678763537139878,-0.003196383586412111,0.002061352044048363,0.03457337401873194,0.0029853386668153054,-0.0028026757250573416,0.008173530923818069,0.012368101202783189,0.24491094309351416,0.01579182147289879,0.37995189683655417,-2.9316823241594104e-06,0.013731916452109399,-0.003196383586412111,-0.006325724709650092,0.046314052246685326,0.012243294427906438,0.02945447949920316,0.03002212689170244,-0.1664529530648023,-0.002745558580314333,0.04538995303754583,-0.0037859252097705294,-0.001091131379689568,0.027176047239735646,0.010647783805407023,-0.004390087910824206,0.0009270857012403867,0.0009573578469178,,-0.010899557913583243
 Non-industry income and expenditure/revenue,0.02050061119559321,0.029648763441478935,0.022366188478093466,0.051437780980290115,0.05124164891828143,-0.592005877211252,-0.22004465499121642,-0.11521103846360843,1.0,-0.230697570190214,-0.0035965861160703804,-0.006041221886412053,-0.005943310788782954,0.0013319971281520399,-0.002269824359540641,0.01958771884394288,0.019644194785401282,0.019631690150416936,0.018147763882439105,0.0007577566475575443,0.11831564233916705,-0.0016008090894965117,0.019279393933568128,0.0004836085647130458,-0.004199654536487103,0.043178818868634485,0.042951330526042504,0.002854940489950337,-0.008223731078216926,-0.0015048711441225206,0.0011145247385381397,-0.000605530943561519,0.004343525649605,-0.03578399542375261,0.00046480845912258754,-0.00028366120769345325,-0.03321408486756806,0.033214084867567946,-0.0018092871209458219,-0.012037393724953376,0.003873282803263915,-0.0014727417610757635,0.019483442760729087,-0.011026567662093641,-0.01205722359841853,0.23689692641891685,0.0019870817958489474,-0.012144711373296709,-0.005540429092964097,-0.007916045603803575,-0.22503158841784524,-0.0036580385920908774,-0.00038962882009485486,0.010800449606229695,-0.001556775965362765,-0.007613175830227889,0.009001839336827579,-0.0002938265118031681,-0.0035602197527299585,-0.024357036417563777,-0.0034759293712603623,0.02310707552519515,-0.030962739704765357,-0.011739197056918728,0.004236284743199039,-0.008968570801623867,-0.0006412801257742138,0.021105246724346445,0.0017014899286904004,-0.02228061489179888,-0.003545236447366306,-0.006365177297822252,0.742290344149415,-0.008805470868914417,0.677229592073491,-0.00035456141836052015,-0.011739197056918728,-0.008968570801623867,-0.014376907454954393,0.03328470714467102,0.011812922789763303,-0.0009725525900024779,0.01851526729570388,-0.08487456459296007,-0.0056522834184800745,0.028422670292985466,-0.00040765752485970265,-0.0006367340405438384,0.05143691578750508,0.007692567484624619,-0.011899489569452559,-0.0005562426881169813,0.0010242743180443686,,0.012292545789656913
 Continuous interest rate (after tax),0.051327937892055045,0.04990938580243333,0.052260532259158284,0.029429815968563127,0.029165936247242067,0.9155437834862158,0.9936165193085659,0.984452328775917,-0.230697570190214,1.0,0.013167879836052776,0.01572757384249062,0.027729677476008813,0.0036535465709133805,0.02040669268080355,0.03083929286344877,0.030835048240576285,0.030840302387070834,0.03205069554861634,0.016342636992021552,0.05160700898418547,0.024515627196953337,0.030487435541770684,0.0012074716330619489,0.0026432940457171757,0.016584390386112778,0.016414864948151177,0.0018423461901582484,0.034962285289303244,-0.000354456718674773,0.00420270949583377,0.017399561676007678,0.0028872642537255203,-0.016857016800451145,0.001478755234831378,7.509493687403261e-05,-0.0011921298554666566,0.0011921298554664929,-0.0001869964280365011,-0.0028870999409880585,0.0021658301345611358,0.024295306366769343,0.030334278051629738,0.008243240370430413,0.027711026965668933,0.10060359147592002,0.0021682909749641127,0.006203240894788163,0.00343928360634358,0.01455920516563417,-0.0646927341687555,0.018579970147421996,0.0006518892402932545,0.035148388485653895,0.02854669688387198,0.03486463159536632,0.016444608879337474,0.0003001673692436878,-0.001111850772333474,0.00015862214130482518,0.024520481133598886,0.011908860659419679,-0.005398594426260728,0.014602301098526657,0.014826285054240041,-0.0026894542185921886,0.0018821488735113773,0.03477709823360588,0.0030938709575230165,-0.0044718944233153365,0.007518235720570236,0.011440009335568222,0.11070315575391057,0.014595540186982068,0.2548856750342124,-1.6174686857842105e-05,0.014602301098526657,-0.0026894542185921886,-0.003092937353695372,0.0423282906665905,0.014059032597264412,0.030652740347326617,0.027139757074862235,-0.14026353680977402,-0.0012328339343316548,0.04560013133617074,-0.004623149088797565,-0.000555719693945897,0.029430591382168175,0.011191283914833948,-0.0029962328082376137,0.00077395769812343,0.0007983467736499439,,-0.011299466376047453
