,count,mean,std,min,25%,50%,75%,max
Bankrupt?,6819.0,0.03226279513125092,0.17671017660774022,0.0,0.0,0.0,0.0,1.0
 ROA(C) before interest and depreciation before interest,6819.0,0.5051796332417815,0.06068563875428444,0.0,0.476527080388047,0.502705601325988,0.535562813825379,1.0
 ROA(A) before interest and % after tax,6819.0,0.5586249158750463,0.06562003103170726,0.0,0.53554295682512,0.559801569995639,0.58915721761884,1.0
 ROA(B) before interest and depreciation after tax,6819.0,0.5535887093516657,0.06159480929187566,0.0,0.527276620804112,0.552277959205525,0.584105144815033,1.0
 Operating Gross Margin,6819.0,0.6079480383703836,0.01693381254822146,0.0,0.6004446590466855,0.605997492036495,0.613914152697502,1.0
 Realized Sales Gross Margin,6819.0,0.6079294691769791,0.01691607005567578,0.0,0.600433848859165,0.605975871661454,0.6138420847806975,1.0
 Operating Profit Rate,6819.0,0.9987551277900442,0.013010025092984125,0.0,0.998969203197885,0.999022239374566,0.999094514164357,1.0
 Pre-tax net Interest Rate,6819.0,0.7971897524712905,0.012868988419884597,0.0,0.797385863236893,0.797463610578231,0.797578848185589,1.0
 After-tax net Interest Rate,6819.0,0.8090835935135348,0.013600653945149043,0.0,0.809311597146491,0.809375198550956,0.809469266134837,1.0
 Non-industry income and expenditure/revenue,6819.0,0.303622923649734,0.011163439838128548,0.0,0.30346627659685,0.303525492830123,0.303585192461218,1.0
 Continuous interest rate (after tax),6819.0,0.7813814325261418,0.012679004028913246,0.0,0.7815668165898519,0.781634957112874,0.7817353784192015,1.0
 Operating Expense Rate,6819.0,1995347312.8028853,3237683890.5223837,0.0,0.0001566874492428,0.0002777588583625,4145000000.0,9990000000.0
 Research and development expense rate,6819.0,1950427306.0568295,2598291553.9983206,0.0,0.000128187953762,509000000.0,3450000000.0,9980000000.0
 Cash flow rate,6819.0,0.4674311857796612,0.017035517308785362,0.0,0.4615577531181065,0.465079724549793,0.471003917029432,1.0
 Interest-bearing debt interest rate,6819.0,16448012.905942537,108275033.532824,0.0,0.0002030203020302,0.0003210321032103,0.0005325532553255,990000000.0
 Tax rate (A),6819.0,0.11500074794142427,0.13866749672835132,0.0,0.0,0.0734892195566353,0.205840672132807,1.0
 Net Value Per Share (B),6819.0,0.19066057949747392,0.033389768351330985,0.0,0.173612574269942,0.184400151700308,0.199570182461759,1.0
 Net Value Per Share (A),6819.0,0.19063317896774643,0.033473514172429,0.0,0.173612574269942,0.184400151700308,0.199570182461759,1.0
 Net Value Per Share (C),6819.0,0.1906723702531618,0.03348013767040907,0.0,0.1736757827314485,0.184400151700308,0.199612321436096,1.0
 Persistent EPS in the Last Four Seasons,6819.0,0.22881285256452782,0.03326261307597689,0.0,0.214711165736976,0.22454382149948,0.2388200813085,1.0
